sample_id,ACVD,AS,BPA,CL,IBD,IGT,T2D,CI,HC,FL,ME,SC
SAMD00114977,0,0.0018381291910703678,0,0.009154607217687712,0.0044208312112723877,0.027483146884075667,0,0,0.95710328549589374,0,0,0
SAMD00114979,0,0,0,0.0026929824561403508,0.024955260812458958,0.00031250000000000001,0,0,0.97203925673140046,0,0,0
SAMD00114982,0.0062387539996235641,0,0.00027777777777777778,0.023889252601394212,0.042091313612278747,0.010259096596557896,0.024390929437629865,0.0010964912280701754,0.88045836859331261,0.0048256482434871177,0.0050041139416139415,0.001468253968253968
SAMD00114984,0.00066666666666666664,0.0010795454545454546,0,0.026918249728427754,0.042424421618113571,0.13067321180954067,0.026265877096759444,0.0070894791483026775,0.75724045701647302,0.0052718714034503504,0.0023702200577200576,0
SAMD00114985,0.0053440561631351103,0,0,0.9504673657525825,0.0002631578947368421,0,0.0051882025138604085,0,0.035411543865491231,0.0033256738101939344,0,0
SAMD00114986,0,0,0.001,0.00092361111111111116,0.0015656565656565658,0.015473470973470974,0.00125,0,0.97740630896880898,0.00035714285714285714,0.0020238095238095236,0
SAMD00114987,0,0,0,0,0.00055555555555555556,0.0043644480519480526,0,0,0.99386571067821083,0,0,0.0012142857142857142
SAMD00114989,0.0060610569985569988,0,0.0011868686868686869,0.042981680658809127,0.022249949684818103,0.0073509358288770046,0.016715660865622164,0.003550775613275613,0.88053433543723747,0.0076955266955266947,0.011316066673264817,0.00035714285714285714
SAMD00114990,0.0024535533910533909,0.00041666666666666664,0.004957722832722832,0.018307152334511332,0.0058386609660586652,0.0044045464694441672,0.013971349105830526,0.0024084249084249084,0.93962528105260967,0.0020211431080996295,0.0055954991645781119,0
SAMD00114991,0,0.00035714285714285714,0,0.0022114898989898991,0.012232865066649896,0.0056376740089975385,0.0035091726084373141,0,0.97364689365502044,0.0002380952380952381,0,0.0021666666666666666
SAMD00114992,0,0,0,0.0034104090354090347,0.032127138597407137,0.0032435064935064941,0.018135238642431738,0,0.94056985302989138,0.0020593087468087469,0.00045454545454545455,0
SAMD00114993,0.00045454545454545455,0,0,0.94441207629230062,0.0029528478057889822,0,0.0012460317460317458,0,0.04253385359480559,0.0084006451065274587,0,0
SAMD00114994,0,0,0,0.0021666666666666666,0.015595070564110816,0,0,0,0.98223826276922255,0,0,0
SAMD00114995,0,0,0,0,0.00071428571428571429,0.00072727272727272723,0,0,0.9980584415584417,0,0,0.00050000000000000001
SAMD00114996,0.065393868553299483,0.0023562801932367149,0.0012142857142857142,0.0900717390546691,0.03660623048075598,0.010580264098646453,0.064676812140686796,0.01328310284916322,0.70130277113660999,0.0040299814919380131,0.0031365789794178538,0.0073480853072907873
SAMD00114997,0,0,0,0,0,0,0,0,1,0,0,0
SAMD00114998,0,0,0.00045454545454545455,0.001373663101604278,0.0028815996095407858,0.0012670454545454545,0,0,0.99297255114166871,0.00081250000000000007,0.0002380952380952381,0
