sample_id,ACVD,AS,BloodPressureAbnormalities,ColorectalLesions,IBD,IGT,T2D,cirrhosis,control,fatty_liver,melanoma,schizophrenia
SAMD00114996,0.080000000000000002,0,0.01,0.23000000000000001,0.11,0,0.01,0.01,0.64000000000000001,0.02,0,0
SAMD00114997,0,0,0,0.070000000000000007,0.01,0.01,0,0.01,0.93000000000000005,0,0,0
SAMD00114998,0.02,0,0,0.20999999999999999,0.01,0,0,0,0.89000000000000001,0,0,0
SAMD00114999,0,0,0,1,0.059999999999999998,0.040000000000000001,0,0,0.02,0,0,0
SAMD00115000,0.040000000000000001,0.040000000000000001,0,0.98999999999999999,0.11,0,0.050000000000000003,0,0.28999999999999998,0,0,0
SAMD00115002,0.040000000000000001,0,0.040000000000000001,0.20000000000000001,0.02,0,0,0.01,0.69999999999999996,0.01,0.01,0
SAMD00115003,0,0,0,0.080000000000000002,0.12,0.059999999999999998,0.01,0.01,0.93999999999999995,0.01,0.01,0
SAMD00115004,0,0,0,0.089999999999999997,0.23000000000000001,0,0.01,0,0.81999999999999995,0.26000000000000001,0,0
SAMD00115005,0.02,0.01,0.02,0,0.32000000000000001,0.01,0.059999999999999998,0,0.73999999999999999,0,0,0
SAMD00115006,0,0,0,0.97999999999999998,0.040000000000000001,0.02,0,0,0.070000000000000007,0,0,0
SAMD00115007,0.01,0,0,1,0.14000000000000001,0.01,0,0,0.22,0,0,0
SAMD00115008,0,0,0,0,0,0.01,0,0,0.94999999999999996,0,0,0
SAMD00115011,0.01,0,0,1,0.02,0,0,0,0.070000000000000007,0,0,0
SAMD00115012,0.040000000000000001,0.02,0,0.02,0.14999999999999999,0,0.01,0.01,0.82999999999999996,0,0,0.01
SAMD00115016,0,0,0,0.56000000000000005,0.11,0,0.01,0.040000000000000001,0.44,0,0,0
SAMD00115017,0.040000000000000001,0,0,0.17000000000000001,0.01,0,0,0.01,0.69999999999999996,0.029999999999999999,0,0
SAMD00115019,0.050000000000000003,0,0.040000000000000001,0.17000000000000001,0.050000000000000003,0,0.01,0,0.81000000000000005,0,0,0
SAMD00115021,0.01,0,0,0.97999999999999998,0.01,0.01,0,0,0.13,0,0,0
SAMD00115022,0,0,0,0.11,0.02,0,0,0.01,0.87,0,0,0
SAMD00115023,0.02,0,0,0.080000000000000002,0.13,0,0,0,0.93000000000000005,0,0,0
SAMD00115024,0,0.02,0,0.14999999999999999,0.45000000000000001,0.02,0.070000000000000007,0,0.68000000000000005,0,0,0
SAMD00115027,0.02,0,0,0.68999999999999995,0.050000000000000003,0.17999999999999999,0.02,0,0.48999999999999999,0.23000000000000001,0,0
SAMD00115028,0.050000000000000003,0.02,0,0.48999999999999999,0.050000000000000003,0.050000000000000003,0.040000000000000001,0,0.67000000000000004,0,0.02,0
SAMD00115029,0.01,0,0,1,0.01,0.029999999999999999,0,0,0.17999999999999999,0,0,0
SAMD00115030,0,0,0.02,1,0.029999999999999999,0.02,0,0,0.17000000000000001,0.01,0,0
SAMD00115031,0,0,0,0.98999999999999999,0.040000000000000001,0,0,0,0.17999999999999999,0,0,0
SAMD00115032,0.10000000000000001,0,0,0.12,0.040000000000000001,0.22,0.02,0.01,0.84999999999999998,0.01,0.01,0
SAMD00115034,0,0,0,0.98999999999999999,0,0,0,0,0.22,0.01,0,0
SAMD00115035,0,0,0,1,0,0,0,0,0.089999999999999997,0,0,0
SAMD00136653,0.01,0,0,0.089999999999999997,0.029999999999999999,0,0,0.01,0.85999999999999999,0,0,0
SAMD00154991,0,0,0,0.01,0.089999999999999997,0,0,0,0.96999999999999997,0,0,0
SAMD00154992,0,0.029999999999999999,0,0.029999999999999999,0.070000000000000007,0.13,0,0,0.93000000000000005,0,0,0
SAMD00154993,0,0,0,1,0,0.01,0,0,0.089999999999999997,0,0,0
SAMD00154994,0,0,0,1,0,0,0,0,0.050000000000000003,0,0,0
SAMD00154995,0,0,0,1,0.089999999999999997,0,0,0,0.029999999999999999,0.01,0,0
SAMD00164694,0.02,0,0,0.93999999999999995,0.029999999999999999,0.13,0,0,0.10000000000000001,0,0,0
SAMD00164695,0.029999999999999999,0,0,0.98999999999999999,0.089999999999999997,0,0.02,0,0.070000000000000007,0.01,0,0
SAMD00164717,0.029999999999999999,0.01,0,0.51000000000000001,0.040000000000000001,0,0,0.029999999999999999,0.080000000000000002,0,0,0
SAMD00164727,0.01,0,0.02,0.38,0.14999999999999999,0,0,0,0.12,0.080000000000000002,0,0
